customerID,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000-LMNO61,Female,0,Yes,No,29.0,Fiber optic,No,No,One year,No,Electronic check,67.89,1970.52,No
0001-ABCD24,Male,0,No,No,9.0,No,No internet service,No internet service,Month-to-month,No,Mailed check,33.95,298.63,No
0002-LMNO81,Female,0,No,No,33.0,No,No internet service,No internet service,One year,No,Bank transfer (automatic),18.0,597.73,No
0003-ABCD30,Male,0,Yes,Yes,11.0,Fiber optic,No,No,Month-to-month,Yes,Mailed check,64.31,701.25,Yes
0004-LMNO92,Female,0,Yes,Yes,24.0,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.03,557.13,No
0005-LMNO84,Female,0,Yes,No,50.0,Fiber optic,Yes,Yes,Two year,No,Bank transfer (automatic),84.36,4216.66,No
0006-LMNO97,Female,0,No,No,1.0,Fiber optic,No,No,Month-to-month,Yes,Electronic check,79.21,89.51,Yes
0007-ABCD33,Female,1,No,Yes,46.0,DSL,No,Yes,One year,No,Mailed check,37.05,1709.21,No
0008-LMNO31,Female,0,Yes,Yes,2.0,Fiber optic,No,No,Month-to-month,Yes,Mailed check,70.18,145.3,Yes
0009-ABCD11,Female,1,No,No,36.0,Fiber optic,No,No,One year,No,Electronic check,74.09,2667.96,No
0010-WXYZ47,Male,0,Yes,Yes,1.0,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,23.05,No
0011-WXYZ73,Male,0,No,No,1.0,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),53.04,56.84,No
0012-ABCD42,Male,0,No,No,56.0,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.24,1515.76,No
0013-WXYZ31,Male,0,Yes,Yes,7.0,Fiber optic,No,No,Month-to-month,No,Electronic check,65.8,456.25,Yes
0014-ABCD98,Male,0,No,No,43.0,Fiber optic,Yes,Yes,One year,Yes,Credit card (automatic),90.22,3874.81,No
0015-ABCD68,Female,0,No,No,29.0,Fiber optic,No,No,One year,No,Bank transfer (automatic),65.38,1892.13,Yes
0016-LMNO51,Male,0,Yes,No,59.0,No,No internet service,No internet service,One year,Yes,Mailed check,18.41,1084.91,No
0017-LMNO71,Female,0,Yes,No,50.0,Fiber optic,No,No,One year,Yes,Electronic check,73.79,,No
0018-WXYZ56,Male,1,No,No,7.0,Fiber optic,No,No,Month-to-month,No,Bank transfer (automatic),71.77,508.26,Yes
0019-WXYZ60,Male,1,Yes,No,3.0,Fiber optic,Yes,No,Month-to-month,Yes,Credit card (automatic),80.34,244.05,Yes
0020-LMNO73,Female,0,Yes,No,72.0,DSL,Yes,No,Two year,Yes,Mailed check,62.65,4517.0,No
0021-ABCD12,Female,0,Yes,No,62.0,Fiber optic,No,Yes,Two year,Yes,Bank transfer (automatic),59.14,,No
0022-ABCD60,Female,0,No,No,5.0,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,79.0,392.48,Yes
0023-LMNO30,Female,0,No,No,8.0,Fiber optic,No,Yes,Month-to-month,No,Mailed check,78.73,628.54,Yes
0024-ABCD48,Male,0,No,No,53.0,Fiber optic,No,No,Two year,Yes,Electronic check,69.15,3661.61,No
0025-WXYZ13,Female,0,No,No,58.0,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),73.59,4262.61,No
0026-ABCD69,Male,0,Yes,No,35.0,Fiber optic,Yes,No,Two year,Yes,Mailed check,88.44,3097.35,No
0027-WXYZ18,Male,1,No,Yes,62.0,No,No internet service,No internet service,Two year,No,Electronic check,18.28,1129.84,No
0028-WXYZ62,Male,0,No,No,14.0,Fiber optic,Yes,Yes,Month-to-month,Yes,Mailed check,85.59,1202.29,Yes
0029-WXYZ93,Male,0,Yes,No,64.0,Fiber optic,No,No,Two year,No,Credit card (automatic),64.14,4098.85,No
0030-LMNO69,Male,0,Yes,Yes,69.0,Fiber optic,Yes,No,Two year,Yes,Bank transfer (automatic),85.65,5914.17,No
0031-LMNO53,Female,0,Yes,No,27.0,No,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,487.07,No
0032-ABCD17,Female,0,No,No,8.0,Fiber optic,Yes,No,Month-to-month,Yes,Credit card (automatic),95.46,764.76,No
0033-LMNO44,Male,0,No,No,9.0,No,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,163.22,No
0034-WXYZ90,Male,0,No,Yes,23.0,No,No internet service,No internet service,One year,Yes,Electronic check,22.57,518.7,No
0035-WXYZ13,Male,1,No,No,1.0,Fiber optic,No,No,Month-to-month,Yes,Electronic check,68.63,68.31,No
0036-WXYZ15,Male,0,Yes,No,3.0,Fiber optic,No,No,Month-to-month,No,Electronic check,74.07,220.86,Yes
0037-WXYZ13,Female,0,No,No,3.0,DSL,No,No,Month-to-month,No,Electronic check,38.22,116.16,Yes
0038-WXYZ72,Male,0,No,No,4.0,DSL,No,Yes,Month-to-month,Yes,Bank transfer (automatic),44.34,180.12,No
0039-WXYZ53,Female,0,Yes,No,34.0,DSL,Yes,Yes,Month-to-month,No,Bank transfer (automatic),62.96,2138.38,No
0040-WXYZ83,Male,0,No,No,67.0,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.18,1426.0,No
0041-WXYZ23,Female,0,Yes,No,19.0,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer (automatic),72.48,1375.29,Yes
0042-LMNO57,Male,0,No,No,41.0,DSL,Yes,Yes,Two year,Yes,Bank transfer (automatic),55.85,2286.34,No
0043-LMNO81,Female,1,No,No,52.0,Fiber optic,No,No,Two year,Yes,Electronic check,68.27,3549.28,No
0044-WXYZ96,Male,0,No,No,66.0,DSL,No,Yes,Two year,No,Bank transfer (automatic),44.91,2960.23,No
0045-ABCD71,Female,0,No,No,37.0,DSL,No,No,One year,Yes,Bank transfer (automatic),48.9,1811.63,No
0046-ABCD89,Male,0,Yes,No,7.0,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),76.98,538.15,No
0047-ABCD91,Male,0,No,No,8.0,Fiber optic,No,No,Month-to-month,Yes,Electronic check,60.71,489.35,No
0048-LMNO62,Female,0,Yes,No,1.0,Fiber optic,No,No,Month-to-month,Yes,Electronic check,68.4,68.1,Yes
0049-WXYZ98,Female,0,No,No,37.0,Fiber optic,Yes,Yes,Two year,No,Bank transfer (automatic),81.71,3022.8,No
0050-ABCD50,Female,0,No,No,,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,87.96,No
0051-ABCD24,Female,0,No,No,20.0,DSL,No,No,One year,Yes,Electronic check,46.33,930.73,Yes
0052-ABCD74,Female,0,Yes,No,56.0,DSL,No,No,Two year,Yes,Bank transfer (automatic),45.16,2527.74,No
0053-ABCD80,Male,0,No,No,62.0,Fiber optic,No,Yes,Two year,No,Electronic check,64.39,3993.5,No
0054-ABCD97,Male,0,No,Yes,25.0,Fiber optic,Yes,No,One year,Yes,Credit card (automatic),79.15,1983.98,No
0055-ABCD17,Male,0,No,No,43.0,Fiber optic,No,No,One year,Yes,Electronic check,72.31,3108.89,Yes
0056-LMNO20,Female,0,Yes,Yes,12.0,Fiber optic,No,No,Month-to-month,Yes,Electronic check,64.54,773.98,No
0057-LMNO90,Male,0,Yes,Yes,31.0,DSL,No,No,One year,Yes,Electronic check,41.53,1286.28,No
0058-LMNO44,Male,0,Yes,No,2.0,No,No internet service,No internet service,Month-to-month,No,Mailed check,24.62,50.19,No
0059-ABCD14,Female,0,No,Yes,48.0,Fiber optic,No,Yes,Two year,Yes,Electronic check,70.86,3405.31,No
0060-WXYZ50,Female,0,No,No,1.0,DSL,No,No,Month-to-month,No,Bank transfer (automatic),52.74,56.63,Yes
0061-LMNO82,Male,0,No,No,13.0,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),69.47,905.57,Yes
0062-WXYZ42,Male,0,Yes,Yes,62.0,Fiber optic,No,No,Two year,Yes,Electronic check,81.16,5037.97,No
0063-LMNO32,Male,0,Yes,No,23.0,Fiber optic,Yes,No,Month-to-month,No,Bank transfer (automatic),84.08,1934.25,No
0064-WXYZ97,Male,0,No,No,44.0,DSL,Yes,No,Two year,No,Electronic check,65.99,2910.58,No
0065-ABCD53,Male,0,No,Yes,47.0,DSL,No,No,Two year,No,Mailed check,40.8,1922.85,No
0066-WXYZ44,Female,0,No,No,59.0,Fiber optic,No,Yes,Two year,Yes,Electronic check,66.75,3934.98,No
0067-ABCD56,Female,0,No,No,10.0,DSL,Yes,No,Month-to-month,No,Electronic check,68.46,688.54,No
0068-WXYZ12,Female,0,Yes,No,6.0,DSL,No,Yes,Month-to-month,Yes,Bank transfer (automatic),41.52,239.84,No
0069-ABCD14,Male,0,No,No,43.0,Fiber optic,Yes,No,Two year,Yes,Electronic check,83.91,3614.14,No
0070-WXYZ23,Female,0,No,No,44.0,DSL,Yes,Yes,Two year,No,Credit card (automatic),56.69,2494.0,No
0071-LMNO36,Male,0,No,No,31.0,DSL,No,No,Month-to-month,No,Bank transfer (automatic),50.62,1565.33,No
0072-ABCD88,Male,0,Yes,Yes,16.0,Fiber optic,No,No,Month-to-month,No,Bank transfer (automatic),63.95,1014.46,Yes
0073-LMNO51,Female,0,Yes,No,1.0,DSL,No,No,Month-to-month,No,Credit card (automatic),51.54,50.86,No
0074-ABCD60,Male,1,Yes,Yes,36.0,Fiber optic,Yes,Yes,Two year,Yes,Credit card (automatic),86.22,3110.0,No
0075-LMNO61,Male,0,No,No,45.0,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,60.93,2743.06,No
0076-ABCD13,Female,0,Yes,No,45.0,No,No internet service,No internet service,Month-to-month,No,Mailed check,19.71,884.97,No
0077-WXYZ32,Male,1,Yes,Yes,32.0,DSL,No,No,One year,Yes,Electronic check,51.25,1639.05,No
0078-LMNO24,Female,0,Yes,No,4.0,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),68.9,282.25,No
0079-LMNO38,Male,0,No,No,67.0,Fiber optic,No,No,Two year,Yes,Mailed check,66.45,4455.64,No
0080-ABCD41,Female,0,Yes,Yes,7.0,Fiber optic,Yes,No,Month-to-month,Yes,Credit card (automatic),87.6,612.99,No
0081-LMNO68,Male,0,No,No,2.0,Fiber optic,No,Yes,Month-to-month,No,Electronic check,69.57,143.81,No
0082-LMNO95,Male,0,Yes,No,12.0,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,69.8,841.57,No
0083-WXYZ51,Female,1,Yes,No,4.0,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,74.56,293.79,Yes
0084-ABCD71,Male,0,No,No,12.0,Fiber optic,No,No,Month-to-month,No,Credit card (automatic),71.73,859.03,Yes
0085-ABCD15,Male,0,Yes,Yes,5.0,DSL,Yes,No,Month-to-month,Yes,Electronic check,67.17,342.95,Yes
0086-WXYZ71,Male,0,Yes,No,14.0,DSL,No,No,Month-to-month,No,Mailed check,37.75,531.88,No
0087-LMNO98,Male,0,Yes,No,39.0,Fiber optic,No,Yes,Two year,Yes,Mailed check,72.81,2848.45,No
0088-LMNO71,Male,0,No,No,13.0,DSL,No,No,Month-to-month,No,Electronic check,45.51,594.63,No
0089-ABCD10,Male,1,No,No,72.0,No,No internet service,No internet service,Two year,Yes,Mailed check,18.98,1363.01,No
0090-ABCD36,Female,1,Yes,No,36.0,Fiber optic,Yes,No,One year,Yes,Mailed check,83.6,3009.5,No
0091-WXYZ86,Male,0,Yes,Yes,7.0,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,90.57,637.93,Yes
0092-ABCD12,Male,1,No,No,1.0,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,50.69,50.65,No
0093-LMNO79,Male,0,No,No,2.0,DSL,No,No,Month-to-month,No,Credit card (automatic),47.36,95.02,No
0094-LMNO18,Male,0,Yes,No,3.0,Fiber optic,No,Yes,Month-to-month,Yes,Credit card (automatic),62.85,198.73,No
0095-WXYZ46,Female,0,No,No,1.0,Fiber optic,No,Yes,Month-to-month,No,Mailed check,68.78,67.59,Yes
0096-ABCD60,Male,0,No,No,14.0,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.75,278.11,Yes
0097-WXYZ53,Female,0,No,No,26.0,No,No internet service,No internet service,One year,No,Electronic check,28.08,731.38,No
0098-LMNO68,Male,0,Yes,No,33.0,DSL,No,No,One year,No,Credit card (automatic),42.33,1401.46,No
0099-WXYZ41,Female,0,Yes,No,20.0,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.27,406.7,Yes
0100-ABCD61,Female,0,Yes,Yes,13.0,DSL,Yes,No,Month-to-month,Yes,Mailed check,53.86,700.83,No
0101-ABCD71,Female,0,No,No,39.0,No,No internet service,No internet service,Two year,No,Electronic check,22.53,888.75,No
0102-ABCD67,Female,1,No,No,1.0,DSL,No,No,Month-to-month,Yes,Mailed check,38.34,37.83,No
0103-WXYZ48,Female,0,Yes,No,52.0,No,No internet service,No internet service,Two year,Yes,Electronic check,18.0,939.67,No
0104-WXYZ12,Male,0,No,No,48.0,Fiber optic,No,No,One year,No,Bank transfer (automatic),62.46,2991.64,No
0105-ABCD65,Male,0,No,No,54.0,No,No internet service,No internet service,Two year,No,Mailed check,18.58,1003.33,No
0106-ABCD68,Female,0,No,No,2.0,Fiber optic,No,No,Month-to-month,No,Bank transfer (automatic),68.83,137.18,Yes
0107-ABCD11,Male,0,No,No,61.0,Fiber optic,Yes,No,Two year,No,Electronic check,90.67,5530.51,No
0108-WXYZ63,Male,0,No,No,36.0,DSL,Yes,No,One year,Yes,Credit card (automatic),67.61,2425.36,No
0109-LMNO10,Female,0,Yes,No,25.0,Fiber optic,No,No,One year,No,Electronic check,77.49,1935.48,No
0110-LMNO11,Male,0,No,No,15.0,Fiber optic,No,No,Month-to-month,Yes,Electronic check,75.75,1131.91,No
0111-ABCD53,Female,0,No,No,20.0,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.38,613.03,No
0112-WXYZ41,Female,0,Yes,Yes,72.0,DSL,Yes,No,Two year,No,Credit card (automatic),62.28,4479.83,No
0113-WXYZ41,Female,0,Yes,No,48.0,No,No internet service,No internet service,One year,Yes,Electronic check,22.35,1075.94,No
0114-LMNO77,Female,0,No,No,8.0,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.14,236.5,Yes
0115-LMNO84,Male,0,Yes,Yes,21.0,Fiber optic,No,No,Month-to-month,No,Mailed check,64.43,1350.05,No
0116-LMNO26,Male,0,No,No,36.0,Fiber optic,Yes,No,Month-to-month,Yes,Credit card (automatic),89.7,3224.95,Yes
0117-LMNO47,Male,0,Yes,No,38.0,Fiber optic,No,Yes,One year,Yes,Electronic check,69.76,2649.47,No
0118-ABCD79,Male,1,Yes,No,65.0,DSL,Yes,Yes,One year,Yes,Mailed check,66.67,4331.56,No
0119-WXYZ20,Female,0,Yes,Yes,11.0,DSL,Yes,No,Month-to-month,Yes,Electronic check,65.91,720.09,No
0120-LMNO25,Female,0,Yes,No,18.0,DSL,No,Yes,Month-to-month,No,Electronic check,44.18,793.76,Yes
0121-ABCD82,Male,0,No,No,20.0,Fiber optic,No,No,Month-to-month,Yes,Electronic check,63.98,1281.16,Yes
0122-LMNO79,Male,0,No,No,1.0,Fiber optic,Yes,No,Month-to-month,Yes,Credit card (automatic),91.75,85.8,No
0123-ABCD12,Female,0,Yes,No,15.0,DSL,No,Yes,Month-to-month,Yes,Electronic check,42.63,638.47,No
0124-LMNO45,Male,1,Yes,No,18.0,Fiber optic,Yes,No,Month-to-month,No,Credit card (automatic),85.61,1538.35,Yes
0125-LMNO76,Male,1,Yes,Yes,14.0,No,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,252.47,No
0126-LMNO28,Male,0,Yes,No,,Fiber optic,No,No,Two year,Yes,Credit card (automatic),68.2,3828.62,No
0127-LMNO61,Female,0,No,No,51.0,Fiber optic,No,No,One year,Yes,Bank transfer (automatic),75.08,3821.5,No
0128-ABCD42,Female,0,Yes,No,53.0,Fiber optic,No,Yes,Two year,No,Electronic check,71.93,3811.76,No
0129-LMNO91,Female,0,Yes,Yes,32.0,DSL,No,No,Month-to-month,Yes,Bank transfer (automatic),41.24,1321.08,Yes
0130-ABCD20,Female,0,No,Yes,60.0,Fiber optic,Yes,No,Two year,Yes,Electronic check,75.61,4534.05,No
0131-ABCD98,Male,0,Yes,No,18.0,Fiber optic,No,No,One year,Yes,Mailed check,73.44,1323.76,No
0132-WXYZ32,Male,0,Yes,Yes,19.0,DSL,No,Yes,Month-to-month,Yes,Mailed check,42.92,808.18,No
0133-LMNO51,Female,0,Yes,Yes,16.0,No,No internet service,No internet service,Month-to-month,No,Mailed check,20.87,332.17,No
0134-LMNO16,Male,0,No,No,33.0,No,No internet service,No internet service,One year,No,Bank transfer (automatic),19.32,624.22,No
0135-WXYZ69,Female,0,No,No,56.0,Fiber optic,Yes,No,Two year,No,Bank transfer (automatic),82.87,4639.51,No
0136-ABCD11,Female,0,No,No,15.0,DSL,No,No,Month-to-month,No,Electronic check,48.1,715.34,No
0137-ABCD57,Female,0,Yes,Yes,17.0,Fiber optic,Yes,No,Month-to-month,No,Credit card (automatic),80.66,1372.79,Yes
0138-WXYZ21,Female,1,Yes,No,47.0,Fiber optic,Yes,No,One year,No,Credit card (automatic),85.75,4037.32,No
0139-ABCD46,Female,0,No,No,63.0,DSL,Yes,No,Two year,Yes,Electronic check,62.07,3911.79,No
0140-LMNO18,Female,0,No,No,37.0,Fiber optic,No,No,One year,Yes,Electronic check,76.74,2839.01,No
0141-ABCD28,Male,0,No,No,17.0,No,No internet service,No internet service,Month-to-month,No,Mailed check,20.26,341.82,No
0142-LMNO29,Male,0,Yes,Yes,10.0,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,178.6,No
0143-WXYZ42,Male,0,Yes,No,32.0,Fiber optic,No,No,Month-to-month,Yes,Electronic check,73.37,2346.52,Yes
0144-LMNO81,Female,0,No,No,55.0,Fiber optic,No,No,Two year,Yes,Electronic check,65.56,3605.88,No
0145-WXYZ93,Male,1,No,No,67.0,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),66.65,4467.93,No
0146-WXYZ98,Female,0,No,No,67.0,DSL,No,No,One year,Yes,Bank transfer (automatic),42.5,2843.66,No
0147-LMNO34,Male,0,No,No,4.0,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.08,82.06,No
0148-ABCD27,Female,0,No,Yes,56.0,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),26.46,1480.69,No
0149-WXYZ91,Male,1,No,No,16.0,DSL,Yes,No,One year,No,Bank transfer (automatic),63.26,1012.23,No
0150-WXYZ63,Female,0,No,No,40.0,Fiber optic,No,No,Two year,No,Mailed check,64.5,2586.43,No
0151-LMNO89,Female,1,No,No,41.0,No,No internet service,No internet service,One year,No,Bank transfer (automatic),27.56,1119.32,No
0152-ABCD50,Male,1,No,No,57.0,Fiber optic,No,No,Two year,No,Electronic check,75.31,4279.94,No
0153-ABCD77,Male,0,Yes,No,63.0,No,No internet service,No internet service,Two year,Yes,Mailed check,22.08,1392.99,No
0154-ABCD23,Female,0,Yes,Yes,8.0,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,58.41,467.32,Yes
0155-ABCD57,Male,1,No,No,49.0,DSL,No,No,Two year,Yes,Electronic check,40.78,2005.65,No
0156-LMNO76,Male,0,Yes,Yes,25.0,Fiber optic,No,No,Month-to-month,No,Electronic check,70.05,1745.62,No
0157-ABCD42,Female,0,No,No,55.0,Fiber optic,No,Yes,Two year,Yes,Electronic check,78.28,4307.83,No
0158-LMNO95,Female,0,Yes,Yes,66.0,DSL,No,No,Two year,No,Bank transfer (automatic),51.63,3405.78,No
0159-LMNO31,Female,0,Yes,No,11.0,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),55.17,611.61,Yes
0160-WXYZ39,Male,0,No,No,19.0,No,No internet service,No internet service,One year,No,Electronic check,18.0,331.07,Yes
0161-WXYZ60,Male,0,Yes,No,45.0,DSL,No,Yes,One year,Yes,Electronic check,44.09,1982.73,No
0162-WXYZ17,Female,0,Yes,Yes,72.0,Fiber optic,Yes,No,Two year,No,Credit card (automatic),85.7,6174.04,No
0163-LMNO36,Female,0,Yes,No,50.0,No,No internet service,No internet service,Two year,Yes,Electronic check,18.0,896.03,No
0164-WXYZ30,Female,0,No,Yes,25.0,No,No internet service,No internet service,One year,Yes,Mailed check,18.0,449.73,No
0165-WXYZ37,Male,1,Yes,Yes,70.0,Fiber optic,No,No,Two year,No,Mailed check,80.58,5640.85,No
0166-LMNO73,Male,0,No,Yes,6.0,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.13,110.46,No
0167-ABCD78,Male,0,Yes,No,2.0,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.5,31.55,No
0168-ABCD57,Male,0,No,No,1.0,DSL,No,No,Month-to-month,No,Bank transfer (automatic),59.13,56.71,No
0169-LMNO13,Male,0,Yes,Yes,37.0,Fiber optic,No,No,One year,No,Electronic check,68.31,2529.94,No
0170-LMNO73,Male,1,Yes,Yes,13.0,DSL,No,Yes,Month-to-month,No,Bank transfer (automatic),39.94,522.94,Yes
0171-ABCD26,Female,0,Yes,No,23.0,Fiber optic,No,No,One year,Yes,Electronic check,66.45,1529.21,No
0172-WXYZ55,Male,0,Yes,No,13.0,DSL,No,Yes,Month-to-month,Yes,Electronic check,46.46,602.26,Yes
0173-ABCD15,Female,1,No,No,53.0,DSL,No,No,Two year,Yes,Mailed check,42.63,2259.86,No
0174-LMNO46,Female,1,Yes,Yes,2.0,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.35,42.91,Yes
0175-ABCD55,Female,0,Yes,No,12.0,DSL,Yes,No,One year,No,Electronic check,59.79,718.49,No
0176-ABCD69,Male,0,No,No,37.0,Fiber optic,No,No,One year,No,Electronic check,85.74,3166.48,No
0177-ABCD72,Female,0,Yes,No,61.0,DSL,No,No,Two year,Yes,Bank transfer (automatic),48.56,2956.54,No
0178-ABCD94,Female,0,Yes,Yes,34.0,Fiber optic,No,No,One year,Yes,Credit card (automatic),65.24,2218.34,No
0179-LMNO42,Female,0,No,No,66.0,Fiber optic,No,No,Two year,No,Bank transfer (automatic),69.13,4554.29,No
0180-LMNO27,Female,0,No,No,42.0,Fiber optic,No,Yes,Two year,Yes,Mailed check,74.02,3112.8,No
0181-ABCD63,Female,0,Yes,Yes,27.0,Fiber optic,No,No,One year,No,Credit card (automatic),75.41,2031.43,No
0182-WXYZ76,Female,0,Yes,Yes,11.0,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,192.22,No
0183-WXYZ33,Male,0,No,No,52.0,DSL,Yes,No,Two year,Yes,Bank transfer (automatic),52.91,2759.76,No
0184-WXYZ41,Female,1,Yes,No,34.0,DSL,No,No,One year,No,Electronic check,47.35,1607.34,No
0185-LMNO95,Male,0,No,No,11.0,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,81.81,,No
0186-LMNO75,Female,1,Yes,Yes,46.0,DSL,Yes,No,One year,Yes,Mailed check,56.11,2584.05,No
0187-LMNO36,Male,1,No,No,42.0,DSL,Yes,Yes,Two year,No,Electronic check,60.94,2566.74,No
0188-WXYZ11,Male,0,Yes,Yes,72.0,Fiber optic,Yes,No,Two year,No,Electronic check,88.95,6401.44,No
0189-WXYZ26,Female,0,No,Yes,41.0,No,No internet service,No internet service,Two year,No,Mailed check,18.81,772.1,No
0190-ABCD18,Female,0,Yes,No,5.0,DSL,Yes,Yes,Month-to-month,No,Electronic check,50.28,250.8,Yes
0191-LMNO57,Male,0,No,No,7.0,DSL,Yes,Yes,Month-to-month,Yes,Credit card (automatic),57.36,413.51,Yes
0192-LMNO51,Male,0,Yes,Yes,23.0,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,79.2,1811.49,Yes
0193-LMNO35,Female,0,Yes,Yes,5.0,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,72.81,363.25,Yes
0194-LMNO59,Male,1,No,No,62.0,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),30.25,1875.41,No
0195-ABCD33,Female,0,No,No,12.0,DSL,No,No,Month-to-month,Yes,Mailed check,46.44,556.73,No
0196-ABCD69,Male,0,No,No,27.0,DSL,Yes,Yes,One year,No,Mailed check,62.21,1672.45,No
0197-WXYZ16,Female,0,Yes,No,26.0,No,No internet service,No internet service,One year,Yes,Mailed check,24.07,616.55,No
0198-ABCD45,Female,0,No,No,68.0,DSL,No,No,Two year,No,Credit card (automatic),51.74,3510.62,No
0199-ABCD29,Male,1,Yes,Yes,7.0,DSL,Yes,Yes,Month-to-month,Yes,Credit card (automatic),57.09,403.94,No
0200-ABCD17,Male,0,No,No,4.0,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),69.74,278.88,No
0201-WXYZ25,Male,0,No,No,28.0,DSL,No,No,Month-to-month,Yes,Credit card (automatic),49.74,1383.92,No
0202-WXYZ85,Female,0,Yes,No,1.0,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,80.29,87.45,Yes
0203-LMNO96,Female,0,No,No,63.0,Fiber optic,No,No,Two year,Yes,Credit card (automatic),62.45,3944.17,No
0204-LMNO75,Female,0,No,No,65.0,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,1171.51,No
0205-LMNO72,Male,0,Yes,Yes,14.0,Fiber optic,Yes,No,Month-to-month,No,Bank transfer (automatic),91.28,1280.06,Yes
0206-WXYZ60,Male,0,No,Yes,67.0,Fiber optic,No,Yes,Two year,Yes,Bank transfer (automatic),70.7,4737.34,No
0207-ABCD67,Male,1,Yes,Yes,32.0,Fiber optic,No,No,Month-to-month,Yes,Mailed check,67.67,2162.3,No
0208-LMNO71,Male,1,No,No,46.0,Fiber optic,No,No,Two year,No,Electronic check,75.08,3444.53,No
0209-ABCD31,Female,0,Yes,Yes,5.0,Fiber optic,Yes,No,Month-to-month,Yes,Credit card (automatic),87.77,433.44,No
